x,y,acceleration,velocity
-233.269689,149.535208,199.79389299686616,719.2580147887182
-228.304636,148.902947,199.81450369717956,719.3322133098465
-223.338586,148.271219,199.8330533274616,719.3989919788618
-218.371492,147.640004,199.84974799471544,719.4590927809757
-213.403308,147.009283,199.8647731952439,719.5131835028781
-208.433989,146.379037,199.87829587571952,719.5618651525903
-203.463488,145.749245,199.89046628814756,719.6056786373313
-198.49176,145.119888,199.90141965933282,719.6451107735982
-193.518758,144.490948,199.91127769339954,719.6805996962383
-188.544436,143.862403,199.9201499240596,719.7125397266145
-183.568748,143.234234,199.92813493165363,719.7412857539531
-178.591648,142.606423,199.93532143848827,719.7671571785578
-173.614051,141.98657,199.94178929463945,719.790441460702
-168.646531,141.458912,199.9476103651755,719.8113973146318
-163.705246,141.151975,192.95284932865795,694.6302575831686
-158.806421,141.194825,186.65756439579215,671.9672318248518
-153.966283,141.716527,180.99180795621294,651.5705086423666
-149.201056,142.846147,175.89262716059164,633.21345777813
-144.533012,144.695014,171.3033644445325,616.692112000317
-140.044241,147.198976,174.17302800007926,627.0229008002854
-135.850969,150.193732,169.75572520007134,611.1206107202569
-132.054214,153.534259,165.78015268006422,596.8085496482312
-128.675042,157.180275,162.2021374120578,583.927694683408
-125.708986,161.124935,158.981923670852,572.3349252150673
-123.156953,165.352757,156.08373130376683,561.9014326935605
-121.035017,169.823853,160.47535817339013,577.7112894242046
-119.361908,174.494067,157.42782235605114,566.7401604817841
-118.156355,179.319241,154.68504012044602,556.8661444336057
-117.437086,184.255219,152.18143948264722,547.85318213753
-117.222825,189.257834,149.6678228943466,538.8041624196478
-117.528097,194.27579,147.15246510482615,529.7488743773741
-118.355743,199.237957,144.6439142461991,520.7180912863167
-119.706586,204.069782,142.14773725734545,511.73185412644364
-121.581453,208.696711,139.6648354855888,502.7934077481197
-123.981166,213.044191,137.18962274146904,493.88264186928853
-126.90481,217.039065,134.71078774525927,484.9588358829334
-130.316149,220.636461,132.22133471146398,475.99680496127036
-134.14608,223.817834,129.7209573470373,466.99544644933434
-138.32425,226.565641,127.21440421770188,457.9718551837268
