x,y,acceleration,velocity
713.078093,259.213947,199.99999999999991,719.9999999999997
712.965115,264.209987,199.99999999999991,719.9999999999997
712.852041,269.206029,199.99999999999991,719.9999999999997
712.738863,274.202073,199.99999999999991,719.9999999999997
712.625573,279.19812,199.99999999999991,719.9999999999997
712.512165,284.194169,199.99999999999991,719.9999999999997
712.39863,289.190221,199.99999999999991,719.9999999999997
712.284962,294.186276,199.99999999999991,719.9999999999997
712.171154,299.182334,199.99999999999991,719.9999999999997
712.057197,304.178395,199.99999999999991,719.9999999999997
711.943084,309.17446,199.99999999999991,719.9999999999997
711.828808,314.170527,199.99999999999991,719.9999999999997
711.714362,319.166599,199.99999999999991,719.9999999999997
711.599738,324.162674,199.99999999999991,719.9999999999997
711.484929,329.158752,199.99999999999991,719.9999999999997
711.369928,334.154835,199.99999999999991,719.9999999999997
711.254726,339.150921,199.99999999999991,719.9999999999997
711.139318,344.147012,199.99999999999991,719.9999999999997
711.023695,349.143107,199.99999999999991,719.9999999999997
710.90785,354.139206,199.99999999999991,719.9999999999997
710.791775,359.13531,199.99999999999991,719.9999999999997
710.675464,364.131418,199.99999999999991,719.9999999999997
710.558909,369.127531,199.99999999999991,719.9999999999997
710.442103,374.123649,199.99999999999991,719.9999999999997
710.325037,379.119773,199.99999999999991,719.9999999999997
710.207705,384.115901,199.99999999999991,719.9999999999997
710.0901,389.112034,199.99999999999991,719.9999999999997
709.972214,394.108173,199.99999999999991,719.9999999999997
709.85404,399.104318,199.99999999999991,719.9999999999997
709.735569,404.100468,199.99999999999991,719.9999999999997
709.616796,409.096624,199.99999999999991,719.9999999999997
709.497713,414.092786,199.99999999999991,719.9999999999997
709.378312,419.088954,199.99999999999991,719.9999999999997
709.258616,424.085127,199.99999999999991,719.9999999999997
709.138668,429.081307,199.99999999999991,719.9999999999997
709.018517,434.077491,199.99999999999991,719.9999999999997
708.898209,439.073679,199.99999999999991,719.9999999999997
708.777791,444.069871,199.99999999999991,719.9999999999997
708.657312,449.066067,199.99999999999991,719.9999999999997
708.536817,454.062266,199.99999999999991,719.9999999999997
708.416354,459.058467,199.99999999999991,719.9999999999997
708.295969,464.05467,199.99999999999991,719.9999999999997
708.175711,469.050874,199.99999999999991,719.9999999999997
708.055626,474.04708,199.99999999999991,719.9999999999997
707.935761,479.043286,199.99999999999991,719.9999999999997
707.816163,484.039492,199.99999999999991,719.9999999999997
707.696879,489.035698,199.99999999999991,719.9999999999997
707.577957,494.031902,199.99999999999991,719.9999999999997
707.459443,499.028106,199.99999999999991,719.9999999999997
707.341385,504.024307,199.99999999999991,719.9999999999997
707.22383,509.020506,199.99999999999991,719.9999999999997
707.106824,514.016702,199.99999999999991,719.9999999999997
706.990415,519.012894,199.99999999999991,719.9999999999997
706.87465,524.009083,199.99999999999991,719.9999999999997
706.759576,529.005267,199.99999999999991,719.9999999999997
706.64524,534.001447,199.99999999999991,719.9999999999997
706.531689,538.997621,199.99999999999991,719.9999999999997
706.418971,543.993789,199.99999999999991,719.9999999999997
706.307132,548.989951,199.99999999999991,719.9999999999997
